  [INFEASIBLE] I=4 e0=4 k=0 cap=11 P0=[(0, 1), (0, 2), (0, 3), (0, 4)] fp=[]
  [INFEASIBLE] I=4 e0=4 k=0 cap=11 P0=[(0, 1), (0, 2), (0, 3), (1, 2)] fp=[]
  [INFEASIBLE] I=4 e0=4 k=0 cap=11 P0=[(0, 1), (0, 2), (0, 3), (1, 4)] fp=[]
  [INFEASIBLE] I=4 e0=4 k=0 cap=11 P0=[(0, 1), (0, 2), (0, 3), (4, 5)] fp=[]
  [INFEASIBLE] I=4 e0=4 k=0 cap=11 P0=[(0, 1), (0, 2), (1, 2), (3, 4)] fp=[]
  [INFEASIBLE] I=4 e0=4 k=0 cap=11 P0=[(0, 1), (0, 2), (1, 3), (2, 3)] fp=[]
  [INFEASIBLE] I=4 e0=4 k=0 cap=11 P0=[(0, 1), (0, 2), (1, 3), (2, 4)] fp=[]
  [INFEASIBLE] I=4 e0=4 k=0 cap=11 P0=[(0, 1), (0, 2), (1, 3), (4, 5)] fp=[]
  [INFEASIBLE] I=4 e0=4 k=0 cap=11 P0=[(0, 1), (0, 2), (3, 4), (3, 5)] fp=[]
  [INFEASIBLE] I=5 e0=4 k=1 cap=12 P0=[(0, 1), (0, 2), (0, 3), (0, 4)] fp=[(6, 7)]
  [INFEASIBLE] I=5 e0=4 k=1 cap=12 P0=[(0, 1), (0, 2), (0, 3), (1, 2)] fp=[(6, 7)]
  [INFEASIBLE] I=5 e0=4 k=1 cap=12 P0=[(0, 1), (0, 2), (0, 3), (1, 4)] fp=[(6, 7)]
  [INFEASIBLE] I=5 e0=4 k=1 cap=12 P0=[(0, 1), (0, 2), (0, 3), (4, 5)] fp=[(6, 7)]
  [INFEASIBLE] I=5 e0=4 k=1 cap=12 P0=[(0, 1), (0, 2), (1, 2), (3, 4)] fp=[(6, 7)]
  [INFEASIBLE] I=5 e0=4 k=1 cap=12 P0=[(0, 1), (0, 2), (1, 3), (2, 3)] fp=[(6, 7)]
  [INFEASIBLE] I=5 e0=4 k=1 cap=12 P0=[(0, 1), (0, 2), (1, 3), (2, 4)] fp=[(6, 7)]
  [INFEASIBLE] I=5 e0=4 k=1 cap=12 P0=[(0, 1), (0, 2), (1, 3), (4, 5)] fp=[(6, 7)]
  [INFEASIBLE] I=5 e0=4 k=1 cap=12 P0=[(0, 1), (0, 2), (3, 4), (3, 5)] fp=[(6, 7)]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5)] fp=[]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (0, 3), (0, 4), (1, 2)] fp=[]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (0, 3), (0, 4), (1, 5)] fp=[]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3)] fp=[]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4)] fp=[]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (0, 3), (1, 2), (3, 4)] fp=[]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (0, 3), (1, 2), (4, 5)] fp=[]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5)] fp=[]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (0, 3), (1, 4), (2, 4)] fp=[]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (0, 3), (1, 4), (2, 5)] fp=[]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (0, 3), (1, 4), (4, 5)] fp=[]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (1, 2), (3, 4), (3, 5)] fp=[]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (1, 3), (2, 3), (4, 5)] fp=[]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (1, 3), (2, 4), (3, 4)] fp=[]
  [INFEASIBLE] I=5 e0=5 k=0 cap=12 P0=[(0, 1), (0, 2), (1, 3), (2, 4), (3, 5)] fp=[]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (0, 3), (0, 4)] fp=[(6, 7), (8, 9)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (0, 3), (0, 4)] fp=[(6, 7), (7, 8)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (0, 3), (0, 4)] fp=[(6, 7), (11, 12)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (0, 3), (1, 2)] fp=[(6, 7), (8, 9)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (0, 3), (1, 2)] fp=[(6, 7), (7, 8)]
  [UNKNOWN] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (0, 3), (1, 2)] fp=[(6, 7), (11, 12)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (0, 3), (1, 4)] fp=[(6, 7), (8, 9)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (0, 3), (1, 4)] fp=[(6, 7), (7, 8)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (0, 3), (1, 4)] fp=[(6, 7), (11, 12)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (0, 3), (4, 5)] fp=[(6, 7), (8, 9)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (0, 3), (4, 5)] fp=[(6, 7), (7, 8)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (0, 3), (4, 5)] fp=[(6, 7), (11, 12)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (1, 2), (3, 4)] fp=[(6, 7), (8, 9)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (1, 2), (3, 4)] fp=[(6, 7), (7, 8)]
  [UNKNOWN] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (1, 2), (3, 4)] fp=[(6, 7), (11, 12)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (1, 3), (2, 3)] fp=[(6, 7), (8, 9)]
  [UNKNOWN] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (1, 3), (2, 3)] fp=[(6, 7), (7, 8)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (1, 3), (2, 3)] fp=[(6, 7), (11, 12)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (1, 3), (2, 4)] fp=[(6, 7), (8, 9)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (1, 3), (2, 4)] fp=[(6, 7), (7, 8)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (1, 3), (2, 4)] fp=[(6, 7), (11, 12)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (1, 3), (4, 5)] fp=[(6, 7), (8, 9)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (1, 3), (4, 5)] fp=[(6, 7), (7, 8)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (1, 3), (4, 5)] fp=[(6, 7), (11, 12)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (3, 4), (3, 5)] fp=[(6, 7), (8, 9)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (3, 4), (3, 5)] fp=[(6, 7), (7, 8)]
  [INFEASIBLE] I=6 e0=4 k=2 cap=13 P0=[(0, 1), (0, 2), (3, 4), (3, 5)] fp=[(6, 7), (11, 12)]
  [INFEASIBLE] I=6 e0=5 k=1 cap=13 P0=[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5)] fp=[(6, 7)]
  [INFEASIBLE] I=6 e0=5 k=1 cap=13 P0=[(0, 1), (0, 2), (0, 3), (0, 4), (1, 2)] fp=[(6, 7)]
  [INFEASIBLE] I=6 e0=5 k=1 cap=13 P0=[(0, 1), (0, 2), (0, 3), (0, 4), (1, 5)] fp=[(6, 7)]
  [INFEASIBLE] I=6 e0=5 k=1 cap=13 P0=[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3)] fp=[(6, 7)]
  [INFEASIBLE] I=6 e0=5 k=1 cap=13 P0=[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4)] fp=[(6, 7)]
